1 :[7.889763155, 12.08396903], Actual: 1, Predicted: 
132 :[8.07980165, 11.48907872], Actual: 1, Predicted: 2
135 :[8.666107781, 10.63373661], Actual: 1, Predicted: 2
137 :[8.655919723, 11.78757894], Actual: 1, Predicted: 2
138 :[7.690547224, 11.98782823], Actual: 1, Predicted: 
139 :[7.950423301, 11.34750129], Actual: 1, Predicted: 2
144 :[8.006931776, 12.34356411], Actual: 1, Predicted: 2
145 :[7.570808661, 11.94259261], Actual: 1, Predicted: 
150 :[16.24348834, 23.41991484], Actual: 2, Predicted: 1
152 :[16.18467609, 24.06291823], Actual: 2, Predicted: 1
154 :[15.59594063, 23.56379928], Actual: 2, Predicted: 1
155 :[8.069757054, 12.30464932], Actual: 1, Predicted: 2
159 :[7.94508166, 12.32314374], Actual: 1, Predicted: 
160 :[16.65104736, 24.57316214], Actual: 2, Predicted: 1
162 :[15.08906162, 23.79373973], Actual: 2, Predicted: 1
163 :[16.09057164, 23.41465825], Actual: 2, Predicted: 1
165 :[9.040004424, 11.50392617], Actual: 1, Predicted: 
166 :[15.4716763, 24.92138078], Actual: 2, Predicted: 1
167 :[16.97811257, 24.39395215], Actual: 2, Predicted: 1
168 :[7.414959295, 11.80073651], Actual: 1, Predicted: 2
169 :[7.100649303, 11.49255087], Actual: 1, Predicted: 2
170 :[7.526952599, 12.54779147], Actual: 1, Predicted: 2
172 :[16.77495906, 24.21853986], Actual: 2, Predicted: 1
173 :[15.73294045, 23.73874802], Actual: 2, Predicted: 1
174 :[15.63091242, 23.69697699], Actual: 2, Predicted: 1
175 :[16.19580166, 24.0362523], Actual: 2, Predicted: 1
177 :[7.895206905, 12.17345763], Actual: 1, Predicted: 2
178 :[8.998074724, 12.5164947], Actual: 1, Predicted: 2
180 :[6.933264707, 12.19822945], Actual: 1, Predicted: 2
181 :[7.636940476, 12.01928452], Actual: 1, Predicted: 2
182 :[16.05591584, 24.18207571], Actual: 2, Predicted: 1
183 :[7.429977701, 12.4572213], Actual: 1, Predicted: 2
185 :[15.58493495, 24.5502027], Actual: 2, Predicted: 1
186 :[15.99361709, 23.96905345], Actual: 2, Predicted: 1
187 :[8.124605844, 11.90616975], Actual: 1, Predicted: 2
189 :[15.98086005, 24.60996544], Actual: 2, Predicted: 
191 :[16.70600189, 23.9687145], Actual: 2, Predicted: 1
192 :[8.696986517, 11.67790121], Actual: 1, Predicted: 2
193 :[14.76092646, 24.20027249], Actual: 2, Predicted: 1
196 :[16.32149545, 24.38762908], Actual: 2, Predicted: 1
198 :[15.88464269, 23.58170022], Actual: 2, Predicted: 1
200 :[16.33575634, 24.01607744], Actual: 2, Predicted: 1
accuracy : 42.5
